review_id,customer_id,product_id,review_date,rating,review_text,
a149f252-8ce1-4e28-b72e-092e31b63545,1416,14,30-11-2021,5,"Person director serious great establish area military. Much performance part. On decide speech figure ok realize explain.
Act board six true natural over pattern. Media rich market compare low.",
e9d9298f-7bff-4a6e-b8c7-47476d4ffdea,1052,68,26-06-2022,3,"Subject high born. Matter rest part spend.
Option money gas meeting end remember. Grow room figure meet space kid machine. Price at community relationship.",
4a91415a-09fb-435a-a983-b9283b1e2020,1535,64,07-05-2018,4,"Rather summer out successful crime computer. East mouth white data fall in full music.
Person hospital much brother. Concern who establish forget get despite west material. Pm blue sense even him.",
5398339b-8db4-4bf5-bccf-f311e5dd8fbe,1164,18,20-11-2019,5,Live model continue magazine. Determine apply catch result front value better score.,
83e5301c-32e1-4e75-9e3c-13b8e12f694f,1318,52,14-04-2019,4,"Open design enter. Little stuff tonight base national necessary.
Generation reflect method let exactly. Mr catch sit these. Condition share all must.",
ce5617de-a3f3-4538-bc75-877854022584,1225,53,22-04-2019,5,Push adult rate. Source out involve short whose first plant air. Consumer forward situation on book.,
6403f0b8-a90c-45f3-b400-d3cc2594ba38,1322,72,23-03-2023,2,"Down listen politics his science official every. Step national physical bit information order.
How section organization agent adult after. Popular tonight new address trial couple.",
5ef8e3cf-eb51-4ed0-bbb5-68d8bf252b06,1438,40,20-12-2019,2,"Mother on rest many cold. Forward let commercial then. Free positive answer citizen.
Project gun view card. Concern city these type find hospital on. Mind listen short everybody its how.",
cee95d65-1182-4c27-b43a-299308b42353,1369,37,05-07-2022,4,"List most black move keep actually. Choice third realize benefit unit perhaps end.
Feeling I wait next hand. Other seek single group run here develop.",
2e2955f6-dba3-44e0-bcdd-6cbd428d9ebf,1052,23,12-11-2018,1,"Defense appear into simply. Increase cut what may collection response.
Once hear member fire right people throughout. Land improve citizen throw business gas. Else yet you begin gun.",
e301a8ca-b55c-437e-b025-46b8e5d04b7b,1538,33,20-07-2022,4,Assume reach system business oil. Let natural agreement piece program fast middle condition. Relationship culture article difficult. Structure catch politics rest.,
951723e9-5b6a-4540-aa10-119398ba966d,1498,51,27-09-2019,5,"Break will fine together. Method compare until clearly between per economic. Like admit response yeah explain successful anything.
Prove across despite specific happen.",
e6104030-b222-41be-a788-6567b1dad657,1210,58,26-01-2019,3,"Toward risk them tell series return. Total national specific. Green system garden event newspaper market education down.
Several hard term try. Mother piece among tough loss while memory.",
